Parametro,Fecha,Hora,Concentraciones horarias,Unidad
SO2,10/01/2024,17:00 - 18:00,0.0098,ppm
SO2,10/01/2024,18:00 - 19:00,0.0279,ppm
SO2,10/01/2024,19:00 - 20:00,0.0419,ppm
SO2,10/01/2024,20:00 - 21:00,0.0336,ppm
SO2,10/01/2024,21:00 - 22:00,0.015,ppm
SO2,10/01/2024,22:00 - 23:00,0.0122,ppm
SO2,11/01/2024,23:00 - 0:00,0.014,ppm
SO2,11/01/2024,0:00 - 1:00,0.0116,ppm
SO2,11/01/2024,1:00 - 2:00,0.0102,ppm
SO2,11/01/2024,2:00 - 3:00,0.0107,ppm
SO2,11/01/2024,3:00 - 4:00,0.0079,ppm
SO2,11/01/2024,4:00 - 5:00,0.0069,ppm
SO2,11/01/2024,5:00 - 6:00,0.006,ppm
SO2,11/01/2024,6:00 - 7:00,0.0067,ppm
SO2,11/01/2024,7:00 - 8:00,0.0059,ppm
SO2,11/01/2024,8:00 - 9:00,0.0057,ppm
SO2,11/01/2024,9:00 - 10:00,0.0045,ppm
SO2,11/01/2024,10:00 - 11:00,0.0042,ppm
SO2,11/01/2024,11:00 - 12:00,0.0036,ppm
SO2,11/01/2024,12:00 - 13:00,0.0032,ppm
SO2,11/01/2024,13:00 - 14:00,0.0031,ppm
SO2,11/01/2024,14:00 - 15:00,0.003,ppm
SO2,11/01/2024,15:00 - 16:00,0.0034,ppm
SO2,11/01/2024,16:00 - 17:00,0.004,ppm
SO2,11/01/2024,17:00 - 18:00,0.0043,ppm
SO2,11/01/2024,18:00 - 19:00,0.0043,ppm
SO2,11/01/2024,19:00 - 20:00,0.0057,ppm
SO2,11/01/2024,20:00 - 21:00,0.0067,ppm
SO2,11/01/2024,21:00 - 22:00,0.0078,ppm
SO2,11/01/2024,22:00 - 23:00,0.0079,ppm
SO2,12/01/2024,23:00 - 0:00,0.0065,ppm
SO2,12/01/2024,0:00 - 1:00,0.0066,ppm
SO2,12/01/2024,1:00 - 2:00,0.0063,ppm
SO2,12/01/2024,2:00 - 3:00,0.0075,ppm
SO2,12/01/2024,3:00 - 4:00,0.0031,ppm
SO2,12/01/2024,4:00 - 5:00,0.003,ppm
SO2,12/01/2024,5:00 - 6:00,0.0046,ppm
