Parametro,Fecha,Hora,Concentraciones horarias,Unidad
PM2.5,2024-01-06,2:00 - 3:00,12,µg/m³
PM2.5,2024-01-06,3:00 - 4:00,15,µg/m³
PM2.5,2024-01-06,4:00 - 5:00,18,µg/m³
PM2.5,2024-01-06,5:00 - 6:00,20,µg/m³
PM2.5,2024-01-06,6:00 - 7:00,22,µg/m³
PM2.5,2024-01-06,7:00 - 8:00,23,µg/m³
PM2.5,2024-01-06,8:00 - 9:00,27,µg/m³
PM2.5,2024-01-06,9:00 - 10:00,33,µg/m³
PM2.5,2024-01-06,10:00 - 11:00,40,µg/m³
PM2.5,2024-01-06,11:00 - 12:00,32,µg/m³
PM2.5,2024-01-06,12:00 - 13:00,38,µg/m³
PM2.5,2024-01-06,13:00 - 14:00,26,µg/m³
PM2.5,2024-01-06,14:00 - 15:00,36,µg/m³
PM2.5,2024-01-06,15:00 - 16:00,47,µg/m³
PM2.5,2024-01-06,16:00 - 17:00,21,µg/m³
PM2.5,2024-01-06,17:00 - 18:00,26,µg/m³
PM2.5,2024-01-06,18:00 - 19:00,25,µg/m³
PM2.5,2024-01-06,19:00 - 20:00,22,µg/m³
PM2.5,2024-01-06,20:00 - 21:00,34,µg/m³
PM2.5,2024-01-06,21:00 - 22:00,37,µg/m³
PM2.5,2024-01-06,22:00 - 23:00,31,µg/m³
PM2.5,2024-01-07,23:00 - 0:00,30,µg/m³
PM2.5,2024-01-07,0:00 - 1:00,35,µg/m³
PM2.5,2024-01-07,1:00 - 2:00,27,µg/m³
PM2.5,2024-01-07,2:00 - 3:00,20,µg/m³
PM2.5,2024-01-07,3:00 - 4:00,17,µg/m³
PM2.5,2024-01-07,5:00 - 6:00,37,µg/m³
PM2.5,2024-01-07,6:00 - 7:00,34,µg/m³
PM2.5,2024-01-07,7:00 - 8:00,26,µg/m³
PM2.5,2024-01-07,8:00 - 9:00,22,µg/m³
PM2.5,2024-01-07,9:00 - 10:00,20,µg/m³
PM2.5,2024-01-07,10:00 - 11:00,14,µg/m³
PM2.5,2024-01-07,11:00 - 12:00,16,µg/m³
PM2.5,2024-01-07,12:00 - 13:00,16,µg/m³
PM2.5,2024-01-07,13:00 - 14:00,20,µg/m³
PM2.5,2024-01-07,14:00 - 15:00,20,µg/m³
PM2.5,2024-01-07,15:00 - 16:00,15,µg/m³
PM2.5,2024-01-07,16:00 - 17:00,15,µg/m³
PM2.5,2024-01-07,17:00 - 18:00,15,µg/m³
PM2.5,2024-01-07,18:00 - 19:00,15,µg/m³
PM2.5,2024-01-07,19:00 - 20:00,15,µg/m³
PM2.5,2024-01-07,20:00 - 21:00,15,µg/m³
PM2.5,2024-01-08,23:00 - 0:00,12,µg/m³
PM2.5,2024-01-08,0:00 - 1:00,8,µg/m³
PM2.5,2024-01-08,1:00 - 2:00,10,µg/m³
PM2.5,2024-01-08,2:00 - 3:00,13,µg/m³
PM2.5,2024-01-08,3:00 - 4:00,14,µg/m³
PM2.5,2024-01-08,4:00 - 5:00,17,µg/m³
PM2.5,2024-01-11,18:00 - 19:00,13,µg/m³
PM2.5,2024-01-11,19:00 - 20:00,24,µg/m³
PM2.5,2024-01-11,20:00 - 21:00,19,µg/m³
PM2.5,2024-01-11,21:00 - 22:00,29,µg/m³
PM2.5,2024-01-11,22:00 - 23:00,32,µg/m³
PM2.5,2024-01-12,23:00 - 0:00,35,µg/m³
PM2.5,2024-01-12,0:00 - 1:00,28,µg/m³
PM2.5,2024-01-12,1:00 - 2:00,25,µg/m³
PM2.5,2024-01-12,2:00 - 3:00,23,µg/m³
PM2.5,2024-01-12,3:00 - 4:00,16,µg/m³
PM2.5,2024-01-12,4:00 - 5:00,10,µg/m³
PM2.5,2024-01-12,5:00 - 6:00,41,µg/m³
PM2.5,2024-01-12,6:00 - 7:00,73,µg/m³
PM2.5,2024-01-17,16:00 - 17:00,20,µg/m³
PM2.5,2024-01-17,17:00 - 18:00,18,µg/m³
PM2.5,2024-01-17,18:00 - 19:00,22,µg/m³
PM2.5,2024-01-17,19:00 - 20:00,24,µg/m³
PM2.5,2024-01-17,20:00 - 21:00,25,µg/m³
PM2.5,2024-01-19,17:00 - 18:00,9,µg/m³
PM2.5,2024-01-19,18:00 - 19:00,8,µg/m³
PM2.5,2024-01-26,8:00 - 9:00,12,µg/m³
PM2.5,2024-01-26,9:00 - 10:00,12,µg/m³
PM2.5,2024-01-26,10:00 - 11:00,16,µg/m³
PM2.5,2024-01-26,11:00 - 12:00,20,µg/m³
PM2.5,2024-01-26,12:00 - 13:00,24,µg/m³
PM2.5,2024-01-26,13:00 - 14:00,23,µg/m³
PM2.5,2024-01-26,14:00 - 15:00,29,µg/m³
PM2.5,2024-01-26,15:00 - 16:00,24,µg/m³
PM2.5,2024-01-26,16:00 - 17:00,20,µg/m³
