Parametro,Fecha,Hora,Concentraciones horarias,Unidad
PM10,05/01/2024,13:00 - 14:00,55,µg/m³
PM10,05/01/2024,14:00 - 15:00,62,µg/m³
PM10,05/01/2024,15:00 - 16:00,52,µg/m³
PM10,05/01/2024,16:00 - 17:00,68,µg/m³
PM10,05/01/2024,17:00 - 18:00,84,µg/m³
PM10,05/01/2024,18:00 - 19:00,107,µg/m³
PM10,05/01/2024,19:00 - 20:00,97,µg/m³
PM10,05/01/2024,20:00 - 21:00,104,µg/m³
PM10,05/01/2024,21:00 - 22:00,103,µg/m³
PM10,05/01/2024,22:00 - 23:00,127,µg/m³
PM10,06/01/2024,23:00 - 0:00,127,µg/m³
PM10,06/01/2024,0:00 - 1:00,132,µg/m³
PM10,06/01/2024,1:00 - 2:00,78,µg/m³
PM10,06/01/2024,2:00 - 3:00,82,µg/m³
PM10,06/01/2024,3:00 - 4:00,58,µg/m³
PM10,06/01/2024,4:00 - 5:00,94,µg/m³
PM10,06/01/2024,5:00 - 6:00,94,µg/m³
PM10,06/01/2024,6:00 - 7:00,125,µg/m³
PM10,06/01/2024,7:00 - 8:00,121,µg/m³
PM10,06/01/2024,8:00 - 9:00,164,µg/m³
PM10,06/01/2024,9:00 - 10:00,170,µg/m³
PM10,06/01/2024,10:00 - 11:00,107,µg/m³
PM10,06/01/2024,11:00 - 12:00,72,µg/m³
PM10,06/01/2024,12:00 - 13:00,61,µg/m³
PM10,06/01/2024,13:00 - 14:00,74,µg/m³
PM10,06/01/2024,14:00 - 15:00,77,µg/m³
PM10,06/01/2024,15:00 - 16:00,69,µg/m³
PM10,06/01/2024,16:00 - 17:00,81,µg/m³
PM10,06/01/2024,17:00 - 18:00,74,µg/m³
PM10,06/01/2024,18:00 - 19:00,85,µg/m³
PM10,06/01/2024,19:00 - 20:00,107,µg/m³
PM10,06/01/2024,20:00 - 21:00,129,µg/m³
PM10,06/01/2024,21:00 - 22:00,139,µg/m³
PM10,06/01/2024,22:00 - 23:00,131,µg/m³
PM10,07/01/2024,23:00 - 0:00,150,µg/m³
PM10,07/01/2024,0:00 - 1:00,176,µg/m³
PM10,07/01/2024,1:00 - 2:00,127,µg/m³
PM10,07/01/2024,2:00 - 3:00,78,µg/m³
PM10,07/01/2024,3:00 - 4:00,75,µg/m³
PM10,07/01/2024,4:00 - 5:00,72,µg/m³
PM10,07/01/2024,6:00 - 7:00,60,µg/m³
PM10,07/01/2024,7:00 - 8:00,59,µg/m³
PM10,07/01/2024,8:00 - 9:00,70,µg/m³
PM10,07/01/2024,9:00 - 10:00,65,µg/m³
PM10,07/01/2024,10:00 - 11:00,68,µg/m³
PM10,07/01/2024,11:00 - 12:00,52,µg/m³
PM10,07/01/2024,12:00 - 13:00,54,µg/m³
PM10,07/01/2024,13:00 - 14:00,48,µg/m³
PM10,07/01/2024,14:00 - 15:00,66,µg/m³
PM10,07/01/2024,15:00 - 16:00,61,µg/m³
PM10,07/01/2024,16:00 - 17:00,85,µg/m³
PM10,07/01/2024,17:00 - 18:00,51,µg/m³
PM10,07/01/2024,18:00 - 19:00,64,µg/m³
PM10,07/01/2024,19:00 - 20:00,89,µg/m³
PM10,07/01/2024,20:00 - 21:00,73,µg/m³
PM10,07/01/2024,21:00 - 22:00,53,µg/m³
PM10,07/01/2024,22:00 - 23:00,49,µg/m³
PM10,08/01/2024,23:00 - 0:00,41,µg/m³
PM10,08/01/2024,0:00 - 1:00,41,µg/m³
PM10,08/01/2024,1:00 - 2:00,42,µg/m³
PM10,08/01/2024,2:00 - 3:00,41,µg/m³
PM10,08/01/2024,3:00 - 4:00,39,µg/m³
PM10,08/01/2024,4:00 - 5:00,36,µg/m³
PM10,08/01/2024,5:00 - 6:00,36,µg/m³
PM10,08/01/2024,6:00 - 7:00,43,µg/m³
PM10,08/01/2024,7:00 - 8:00,56,µg/m³
PM10,08/01/2024,8:00 - 9:00,141,µg/m³
PM10,08/01/2024,9:00 - 10:00,161,µg/m³
PM10,08/01/2024,10:00 - 11:00,127,µg/m³
PM10,08/01/2024,11:00 - 12:00,145,µg/m³
PM10,08/01/2024,12:00 - 13:00,130,µg/m³
PM10,08/01/2024,13:00 - 14:00,89,µg/m³
PM10,08/01/2024,14:00 - 15:00,94,µg/m³
PM10,08/01/2024,15:00 - 16:00,99,µg/m³
PM10,08/01/2024,16:00 - 17:00,82,µg/m³
PM10,08/01/2024,17:00 - 18:00,101,µg/m³
PM10,08/01/2024,18:00 - 19:00,155,µg/m³
PM10,08/01/2024,19:00 - 20:00,335,µg/m³
PM10,08/01/2024,20:00 - 21:00,280,µg/m³
PM10,08/01/2024,21:00 - 22:00,182,µg/m³
PM10,08/01/2024,22:00 - 23:00,104,µg/m³
PM10,09/01/2024,23:00 - 0:00,72,µg/m³
PM10,09/01/2024,0:00 - 1:00,70,µg/m³
PM10,09/01/2024,1:00 - 2:00,88,µg/m³
PM10,09/01/2024,2:00 - 3:00,154,µg/m³
PM10,09/01/2024,3:00 - 4:00,149,µg/m³
PM10,09/01/2024,4:00 - 5:00,141,µg/m³
PM10,09/01/2024,5:00 - 6:00,115,µg/m³
PM10,09/01/2024,6:00 - 7:00,120,µg/m³
PM10,09/01/2024,7:00 - 8:00,111,µg/m³
PM10,09/01/2024,8:00 - 9:00,138,µg/m³
PM10,09/01/2024,9:00 - 10:00,188,µg/m³
PM10,09/01/2024,10:00 - 11:00,200,µg/m³
PM10,09/01/2024,11:00 - 12:00,170,µg/m³
PM10,09/01/2024,12:00 - 13:00,156,µg/m³
PM10,09/01/2024,13:00 - 14:00,143,µg/m³
PM10,09/01/2024,14:00 - 15:00,150,µg/m³
PM10,09/01/2024,15:00 - 16:00,152,µg/m³
PM10,09/01/2024,16:00 - 17:00,164,µg/m³
PM10,09/01/2024,17:00 - 18:00,168,µg/m³
PM10,09/01/2024,18:00 - 19:00,177,µg/m³
PM10,09/01/2024,19:00 - 20:00,192,µg/m³
PM10,09/01/2024,20:00 - 21:00,199,µg/m³
PM10,09/01/2024,21:00 - 22:00,186,µg/m³
PM10,09/01/2024,22:00 - 23:00,197,µg/m³
PM10,10/01/2024,23:00 - 0:00,202,µg/m³
PM10,10/01/2024,0:00 - 1:00,186,µg/m³
PM10,10/01/2024,1:00 - 2:00,163,µg/m³
PM10,10/01/2024,2:00 - 3:00,122,µg/m³
PM10,10/01/2024,3:00 - 4:00,128,µg/m³
PM10,10/01/2024,4:00 - 5:00,118,µg/m³
PM10,10/01/2024,5:00 - 6:00,115,µg/m³
PM10,10/01/2024,6:00 - 7:00,149,µg/m³
PM10,10/01/2024,7:00 - 8:00,221,µg/m³
PM10,10/01/2024,8:00 - 9:00,264,µg/m³
PM10,10/01/2024,9:00 - 10:00,264,µg/m³
PM10,10/01/2024,10:00 - 11:00,217,µg/m³
PM10,10/01/2024,11:00 - 12:00,153,µg/m³
PM10,10/01/2024,12:00 - 13:00,192,µg/m³
PM10,10/01/2024,13:00 - 14:00,137,µg/m³
PM10,10/01/2024,14:00 - 15:00,138,µg/m³
PM10,10/01/2024,15:00 - 16:00,172,µg/m³
PM10,10/01/2024,16:00 - 17:00,216,µg/m³
PM10,10/01/2024,17:00 - 18:00,221,µg/m³
PM10,10/01/2024,18:00 - 19:00,189,µg/m³
PM10,10/01/2024,19:00 - 20:00,218,µg/m³
PM10,10/01/2024,20:00 - 21:00,273,µg/m³
PM10,10/01/2024,21:00 - 22:00,282,µg/m³
PM10,10/01/2024,22:00 - 23:00,243,µg/m³
PM10,11/01/2024,23:00 - 0:00,285,µg/m³
PM10,11/01/2024,0:00 - 1:00,218,µg/m³
PM10,11/01/2024,1:00 - 2:00,300,µg/m³
PM10,11/01/2024,2:00 - 3:00,274,µg/m³
PM10,11/01/2024,3:00 - 4:00,220,µg/m³
PM10,11/01/2024,4:00 - 5:00,203,µg/m³
PM10,11/01/2024,5:00 - 6:00,184,µg/m³
PM10,11/01/2024,6:00 - 7:00,167,µg/m³
PM10,11/01/2024,7:00 - 8:00,208,µg/m³
PM10,11/01/2024,8:00 - 9:00,265,µg/m³
PM10,11/01/2024,9:00 - 10:00,213,µg/m³
PM10,11/01/2024,10:00 - 11:00,180,µg/m³
PM10,11/01/2024,11:00 - 12:00,157,µg/m³
PM10,11/01/2024,12:00 - 13:00,168,µg/m³
PM10,11/01/2024,13:00 - 14:00,145,µg/m³
PM10,11/01/2024,14:00 - 15:00,70,µg/m³
PM10,11/01/2024,15:00 - 16:00,50,µg/m³
PM10,11/01/2024,16:00 - 17:00,87,µg/m³
PM10,11/01/2024,17:00 - 18:00,118,µg/m³
PM10,11/01/2024,18:00 - 19:00,173,µg/m³
PM10,11/01/2024,19:00 - 20:00,145,µg/m³
PM10,11/01/2024,20:00 - 21:00,163,µg/m³
PM10,11/01/2024,21:00 - 22:00,217,µg/m³
PM10,11/01/2024,22:00 - 23:00,194,µg/m³
PM10,12/01/2024,23:00 - 0:00,249,µg/m³
PM10,12/01/2024,0:00 - 1:00,178,µg/m³
PM10,12/01/2024,1:00 - 2:00,207,µg/m³
PM10,12/01/2024,2:00 - 3:00,210,µg/m³
PM10,12/01/2024,3:00 - 4:00,202,µg/m³
PM10,12/01/2024,4:00 - 5:00,343,µg/m³
PM10,12/01/2024,5:00 - 6:00,214,µg/m³
PM10,12/01/2024,6:00 - 7:00,558,µg/m³
PM10,12/01/2024,7:00 - 8:00,659,µg/m³
PM10,16/01/2024,12:00 - 13:00,100,µg/m³
PM10,16/01/2024,13:00 - 14:00,44,µg/m³
PM10,16/01/2024,14:00 - 15:00,45,µg/m³
PM10,16/01/2024,15:00 - 16:00,39,µg/m³
PM10,16/01/2024,16:00 - 17:00,49,µg/m³
PM10,16/01/2024,17:00 - 18:00,51,µg/m³
PM10,16/01/2024,18:00 - 19:00,56,µg/m³
PM10,16/01/2024,19:00 - 20:00,68,µg/m³
PM10,16/01/2024,20:00 - 21:00,103,µg/m³
PM10,16/01/2024,21:00 - 22:00,100,µg/m³
PM10,16/01/2024,22:00 - 23:00,93,µg/m³
PM10,17/01/2024,23:00 - 0:00,52,µg/m³
PM10,17/01/2024,0:00 - 1:00,48,µg/m³
PM10,17/01/2024,1:00 - 2:00,47,µg/m³
PM10,17/01/2024,2:00 - 3:00,40,µg/m³
PM10,17/01/2024,3:00 - 4:00,39,µg/m³
PM10,17/01/2024,4:00 - 5:00,36,µg/m³
PM10,17/01/2024,5:00 - 6:00,35,µg/m³
PM10,17/01/2024,6:00 - 7:00,52,µg/m³
PM10,17/01/2024,7:00 - 8:00,67,µg/m³
PM10,17/01/2024,8:00 - 9:00,88,µg/m³
PM10,17/01/2024,9:00 - 10:00,71,µg/m³
PM10,17/01/2024,10:00 - 11:00,58,µg/m³
PM10,17/01/2024,11:00 - 12:00,54,µg/m³
PM10,17/01/2024,12:00 - 13:00,56,µg/m³
PM10,17/01/2024,13:00 - 14:00,61,µg/m³
PM10,17/01/2024,14:00 - 15:00,62,µg/m³
PM10,17/01/2024,15:00 - 16:00,76,µg/m³
PM10,17/01/2024,16:00 - 17:00,75,µg/m³
PM10,17/01/2024,17:00 - 18:00,73,µg/m³
PM10,17/01/2024,18:00 - 19:00,79,µg/m³
PM10,17/01/2024,19:00 - 20:00,85,µg/m³
PM10,17/01/2024,20:00 - 21:00,85,µg/m³
PM10,17/01/2024,21:00 - 22:00,82,µg/m³
PM10,17/01/2024,22:00 - 23:00,71,µg/m³
PM10,18/01/2024,23:00 - 0:00,79,µg/m³
PM10,18/01/2024,0:00 - 1:00,104,µg/m³
PM10,18/01/2024,1:00 - 2:00,81,µg/m³
PM10,18/01/2024,2:00 - 3:00,83,µg/m³
PM10,18/01/2024,3:00 - 4:00,162,µg/m³
PM10,18/01/2024,4:00 - 5:00,149,µg/m³
PM10,18/01/2024,5:00 - 6:00,124,µg/m³
PM10,18/01/2024,6:00 - 7:00,127,µg/m³
PM10,18/01/2024,7:00 - 8:00,160,µg/m³
PM10,18/01/2024,8:00 - 9:00,204,µg/m³
PM10,18/01/2024,9:00 - 10:00,215,µg/m³
PM10,18/01/2024,10:00 - 11:00,250,µg/m³
PM10,18/01/2024,11:00 - 12:00,221,µg/m³
PM10,18/01/2024,12:00 - 13:00,255,µg/m³
PM10,18/01/2024,13:00 - 14:00,229,µg/m³
PM10,18/01/2024,14:00 - 15:00,299,µg/m³
PM10,18/01/2024,15:00 - 16:00,264,µg/m³
PM10,18/01/2024,16:00 - 17:00,223,µg/m³
PM10,18/01/2024,17:00 - 18:00,209,µg/m³
PM10,18/01/2024,18:00 - 19:00,170,µg/m³
PM10,18/01/2024,19:00 - 20:00,143,µg/m³
PM10,18/01/2024,20:00 - 21:00,161,µg/m³
PM10,18/01/2024,21:00 - 22:00,195,µg/m³
PM10,18/01/2024,22:00 - 23:00,161,µg/m³
PM10,19/01/2024,23:00 - 0:00,203,µg/m³
PM10,19/01/2024,0:00 - 1:00,252,µg/m³
PM10,19/01/2024,1:00 - 2:00,296,µg/m³
PM10,19/01/2024,2:00 - 3:00,288,µg/m³
PM10,19/01/2024,3:00 - 4:00,356,µg/m³
PM10,19/01/2024,4:00 - 5:00,188,µg/m³
PM10,19/01/2024,5:00 - 6:00,118,µg/m³
PM10,19/01/2024,6:00 - 7:00,143,µg/m³
PM10,19/01/2024,7:00 - 8:00,303,µg/m³
PM10,19/01/2024,8:00 - 9:00,306,µg/m³
PM10,19/01/2024,9:00 - 10:00,366,µg/m³
PM10,19/01/2024,10:00 - 11:00,158,µg/m³
PM10,19/01/2024,11:00 - 12:00,87,µg/m³
PM10,19/01/2024,12:00 - 13:00,89,µg/m³
PM10,19/01/2024,13:00 - 14:00,72,µg/m³
PM10,19/01/2024,14:00 - 15:00,79,µg/m³
PM10,19/01/2024,15:00 - 16:00,84,µg/m³
PM10,19/01/2024,16:00 - 17:00,81,µg/m³
PM10,19/01/2024,17:00 - 18:00,70,µg/m³
PM10,19/01/2024,18:00 - 19:00,80,µg/m³
PM10,19/01/2024,19:00 - 20:00,98,µg/m³
PM10,19/01/2024,20:00 - 21:00,87,µg/m³
PM10,19/01/2024,21:00 - 22:00,89,µg/m³
PM10,19/01/2024,22:00 - 23:00,79,µg/m³
PM10,20/01/2024,23:00 - 0:00,73,µg/m³
PM10,20/01/2024,0:00 - 1:00,55,µg/m³
PM10,20/01/2024,1:00 - 2:00,56,µg/m³
PM10,20/01/2024,2:00 - 3:00,50,µg/m³
PM10,20/01/2024,3:00 - 4:00,56,µg/m³
PM10,20/01/2024,4:00 - 5:00,48,µg/m³
PM10,20/01/2024,5:00 - 6:00,49,µg/m³
PM10,20/01/2024,6:00 - 7:00,52,µg/m³
PM10,20/01/2024,7:00 - 8:00,56,µg/m³
